Time [s],Value,Parity Error,Framing Error
0.855961900000000,0x55,,
0.855971980000000,0x55,,
0.855982060000000,0x55,,
0.855992140000000,0x55,,
0.856002220000000,0x55,,
0.856012300000000,0x55,,
0.856022380000000,0x55,,
0.856032460000000,0x55,,
0.856042540000000,0x55,,
0.856052620000000,0x55,,
0.856062700000000,0x55,,
0.856072780000000,0x55,,
0.856082860000000,0x55,,
0.856092940000000,0x55,,
0.856103020000000,0x55,,
0.856113100000000,0x77,,
0.857041120000000,0x00,,
0.857051220000000,0x00,,
0.857061280000000,0x00,,
0.857071360000000,0x00,,
0.857081440000000,0x00,,
0.857091520000000,0x00,,
0.857101600000000,0x00,,
0.857111680000000,0x00,,
0.857121760000000,0xE3,,
0.857131840000000,0x18,,
0.857141920000000,0xC3,,
0.857152000000000,0x18,,
0.857162080000000,0xE3,,
0.857172160000000,0x18,,
0.857182240000000,0xC3,,
0.857192320000000,0x18,,
0.857202400000000,0xC3,,
0.857212480000000,0x18,,
0.857222560000000,0xC3,,
0.857232640000000,0x18,,
0.857242720000000,0xE3,,
0.857252800000000,0x18,,
0.857262880000000,0xE3,,
0.857272960000000,0x18,,
0.857283040000000,0xE3,,
0.857293120000000,0x18,,
0.857303200000000,0xE3,,
0.857313280000000,0x18,,
0.857323360000000,0xE3,,
0.857333440000000,0x18,,
0.857343520000000,0xE3,,
0.857353600000000,0x18,,
0.857363680000000,0xC3,,
0.857373760000000,0x18,,
0.857383840000000,0xE3,,
0.857393920000000,0x18,,
0.857404000000000,0xE3,,
0.857414080000000,0x18,,
0.857424160000000,0xE3,,
0.857434240000000,0x18,,
0.857444320000000,0xE3,,
0.857454400000000,0x18,,
0.857464480000000,0xE3,,
0.857474560000000,0x18,,
0.857484640000000,0xE3,,
0.857494720000000,0x18,,
0.857504800000000,0xE3,,
0.857514880000000,0x18,,
0.857524960000000,0xE3,,
0.857535040000000,0x18,,
0.857545120000000,0xE3,,
0.857555200000000,0x18,,
0.857565280000000,0xE3,,
0.857575360000000,0x18,,
0.857585440000000,0xE3,,
0.857595520000000,0x18,,
0.857605600000000,0xE3,,
0.857615680000000,0x18,,
0.857625760000000,0xE3,,
0.857635840000000,0x18,,
0.857645920000000,0xE3,,
0.857656000000000,0x18,,
0.857666080000000,0xE3,,
0.857676160000000,0x18,,
0.857686240000000,0xE3,,
0.857696320000000,0x18,,
0.857706400000000,0xE3,,
0.857716480000000,0x18,,
0.857726560000000,0xE3,,
0.857736640000000,0x18,,
0.857746720000000,0xE3,,
0.857756800000000,0x18,,
0.857766880000000,0xE3,,
0.857776960000000,0x18,,
0.857787040000000,0xE3,,
0.857797120000000,0x18,,
0.857807200000000,0xE3,,
0.857817280000000,0x18,,
0.857827360000000,0xE3,,
0.857837440000000,0x18,,
0.857847520000000,0xE3,,
0.857857600000000,0x18,,
0.857867680000000,0xE3,,
0.857877760000000,0x18,,
0.857887840000000,0xE3,,
0.857897920000000,0x18,,
0.857908000000000,0xE3,,
0.857918080000000,0x18,,
0.857928160000000,0xE3,,
0.857938240000000,0x18,,
0.857948320000000,0xE3,,
0.857958400000000,0x18,,
0.857968480000000,0xE3,,
0.857978560000000,0x18,,
0.857988640000000,0xE3,,
0.857998720000000,0x18,,
0.858010040000000,0xE3,,
0.858020120000000,0x18,,
0.858030200000000,0xE3,,
0.858040280000000,0x18,,
0.858050360000000,0xE3,,
0.858060440000000,0x18,,
0.858070520000000,0xE3,,
0.858080600000000,0x18,,
0.858090680000000,0xE3,,
0.858100760000000,0x18,,
0.858110840000000,0xE3,,
0.858120920000000,0x18,,
0.858131000000000,0xE3,,
0.858141080000000,0x18,,
0.858151160000000,0xE3,,
0.858161240000000,0x18,,
0.858171320000000,0xE3,,
0.858181400000000,0x18,,
0.858191480000000,0xE3,,
0.858201560000000,0x18,,
0.858211640000000,0xE3,,
0.858221720000000,0x18,,
0.858231800000000,0xE3,,
0.858241880000000,0x18,,
0.858251960000000,0xE3,,
0.858262040000000,0x18,,
0.858272120000000,0xE3,,
0.858282200000000,0x18,,
0.858292260000000,0xE3,,
0.858302360000000,0x18,,
0.858312440000000,0xE3,,
0.858322500000000,0x18,,
0.858332580000000,0xE3,,
0.858342660000000,0x18,,
0.858352740000000,0xE3,,
0.858362820000000,0x18,,
0.858372900000000,0xE3,,
0.858382980000000,0x18,,
0.858393060000000,0xE3,,
0.858403140000000,0x18,,
0.858413220000000,0xE3,,
0.858423300000000,0x18,,
0.858433380000000,0xE3,,
0.858443460000000,0x18,,
0.858453540000000,0xE3,,
0.858463620000000,0x18,,
0.858473700000000,0xE3,,
0.858483780000000,0x18,,
0.858493860000000,0xE3,,
0.858503940000000,0x18,,
0.858514020000000,0xE3,,
0.858524100000000,0x18,,
0.858534180000000,0xE3,,
0.858544260000000,0x18,,
0.858554340000000,0xE3,,
0.858564420000000,0x18,,
0.858574500000000,0xE3,,
0.858584580000000,0x18,,
0.858594660000000,0xE3,,
0.858604740000000,0x18,,
0.858614820000000,0xE3,,
0.858624900000000,0x18,,
0.858634980000000,0xE3,,
0.858645060000000,0x18,,
0.858655140000000,0xE3,,
0.858665220000000,0x18,,
0.858675300000000,0xE3,,
0.858685380000000,0x18,,
0.858695460000000,0xE3,,
0.858705540000000,0x18,,
0.858715620000000,0xE3,,
0.858725700000000,0x18,,
0.858735780000000,0xE3,,
0.858745860000000,0x18,,
0.858755940000000,0xE3,,
0.858766020000000,0x18,,
0.858776100000000,0xE3,,
0.858786180000000,0x18,,
0.858796260000000,0xE3,,
0.858806340000000,0x18,,
0.858816420000000,0xE3,,
0.858826500000000,0x18,,
0.858836580000000,0xE3,,
0.858846660000000,0x18,,
0.858856740000000,0xE3,,
0.858866820000000,0x18,,
0.858876900000000,0xE3,,
0.858886980000000,0x18,,
0.858897060000000,0xE3,,
0.858907140000000,0x18,,
0.858917220000000,0xE3,,
0.858927300000000,0x18,,
0.858937380000000,0xE3,,
0.858947460000000,0x18,,
0.858957540000000,0xE3,,
0.858967620000000,0x18,,
0.858977700000000,0xE3,,
0.858987780000000,0x18,,
0.858997860000000,0xE3,,
0.859007940000000,0x18,,
0.859018020000000,0xE3,,
0.859028100000000,0x18,,
0.859038180000000,0xE3,,
0.859048260000000,0x18,,
0.859058340000000,0xE3,,
0.859068420000000,0x18,,
0.859078500000000,0xE3,,
0.859088580000000,0x18,,
0.859098660000000,0xE3,,
0.859108740000000,0x18,,
0.859118820000000,0xE3,,
0.859128900000000,0x18,,
0.859138980000000,0xE3,,
0.859149060000000,0x18,,
0.859159140000000,0xE3,,
0.859169220000000,0x18,,
0.859179300000000,0xE3,,
0.859189380000000,0x18,,
0.859199460000000,0xE3,,
0.859209540000000,0x18,,
0.859219620000000,0xE3,,
0.859229700000000,0x18,,
0.859239780000000,0xE3,,
0.859249860000000,0x18,,
0.859259940000000,0xE3,,
0.859270020000000,0x18,,
0.859280100000000,0xE3,,
0.859290180000000,0x18,,
0.859300260000000,0xE3,,
0.859310340000000,0x18,,
0.859320420000000,0xE3,,
0.859330500000000,0x18,,
0.859340580000000,0xE3,,
0.859350660000000,0x18,,
0.859360740000000,0xE3,,
0.859370820000000,0x18,,
0.859380900000000,0xE3,,
0.859390980000000,0x18,,
0.859401060000000,0xE3,,
0.859411140000000,0x18,,
0.859421220000000,0xE3,,
0.859431300000000,0x18,,
0.859441380000000,0xE3,,
0.859451460000000,0x18,,
0.859461540000000,0xE3,,
0.859471620000000,0x18,,
0.859481700000000,0xE3,,
0.859491780000000,0x18,,
0.859501860000000,0xE3,,
0.859511940000000,0x18,,
0.859522020000000,0xE3,,
0.859532100000000,0x18,,
0.859542180000000,0xE3,,
0.859552260000000,0x18,,
0.859562340000000,0xE3,,
0.859572420000000,0x18,,
0.859582500000000,0xE3,,
